abdome	barriga
anestesiologista	médico que administra medicamentos como anestésicos (que reduzem a sensibilidade e a dor) e que monitora (acompanha) as funções vitais (batimentos cardíacos, respiração etc.) do paciente durante uma cirurgia
anestesista	médico que administra medicamentos como anestésicos (que reduzem a sensibilidade e a dor) e que monitora (acompanha) as funções vitais (batimentos cardíacos, respiração etc.) do paciente durante uma cirurgia
aneurisma	dilatação (alargamento) anormal da parede de um vaso sanguíneo, que pode acabar se rompendo e provocando perda de sangue ou derrame
aneurisma cerebral	dilatação (alargamento) anormal num dos vasos sanguíneos que levam sangue até ao cérebro
aneurisma de o aorta	dilatação (alargamento) anormal de alguma parte da aorta, a maior artéria (vaso sanguíneo) do corpo
anfetamina	substância que estimula a atividade do sistema nervoso central (*Ver SNC no glossário). O "rebite" que o caminhoneiro toma para se manter acordado é um exemplo de anfetamina.
angina	dor no peito causada pelo entupimento das artérias (vasos sanguíneos) do coração 
anomalia	aquilo que não é normal
anomalia congênita	anormalidade ou defeito presente desde o nascimento
anorexia	distúrbio (problema) alimentar em que a pessoa tem uma visão distorcida do próprio corpo, peso abaixo do normal, medo de ganhar peso, vontade intensa de ser magra 
anormalidade	aquilo que não é normal
anosmia	perda da capacidade ou dificuldade de sentir cheiros
anosognosia	incapacidade de perceber que se está doente
anoxia	falta de oxigênio
anoxia cerebral	falta de oxigênio no cérebro
anquilose	rigidez (endurecimento) de uma articulação
ansiolítico	grupo de remédios usado para diminuir a ansiedade e a tensão
antiálgica	que protege contra a dor
antibacteriano	substância que destrói as bactérias ou evita que elas se desenvolvam
antibiótico	remédios usados para tratar infecções causadas por bactérias
anticoagulante	remédios que impedem a formação de coágulos (forma sólida do sangue)
anticolinérgico	grupo de remédios que ajuda a diminuir os tremores (tremedeira)
anticonvulsivante	grupo de remédios que trata e previne convulsões, crises epilépticas, dores nos nervos e problemas de saúde mental, como bipolaridade; o mesmo que anticonvulsivo
anticolvulsivo	grupo de remédios que trata e previne convulsões, crises epilépticas, dores nos nervos e problemas de saúde mental, como bipolaridade; o mesmo que anticonvulsivo
anticorpo	proteínas que trabalham como defensores do organismo contra bactérias, vírus e outros corpos estranhos; o nosso corpo produz anticorpos para se defender de doenças
antidepressivo	grupo de remédios usado para tratar depressão e outras doenças
antiemético	remédios que evitam o vômito
anti inflamatório	substância ou remédio que combate as inflamações
antimicrobiano	substância que mata ou impede que bactérias, fungos, vírus ou protozoários se desenvolvam
anti retroviral	remédios usados para o tratamento de infecções por um tipo de vírus chamado retrovírus, principalmente o HIV
antirretroviral	remédios usados para o tratamento de infecções por um tipo de vírus chamado retrovírus, principalmente o HIV
antioxidante	substâncias que reduzem o envelhecimento das células 
antiparkisonianos	grupo de remédios que trata sintomas como tremores
antipsicótico	grupo de remédios usado para tratar algumas doenças da mente; podem ajudar também no controle das emoções, como agressividade, impusividade, mudanças bruscas de humor
antisséptico	impede que os micróbios (virus, bactérias, protozoários e fungos) se multipliquem e se espalhem
anúria	diminuição ou falta de urina na bexiga
aorta	a maior e mais importante artéria (vaso sanguíneo) do corpo; responsável por receber sangue com oxigênio do coração e enviar esse sangue para o resto do corpo
aparelho digestivo	órgãos que trabalham juntos para transformar os alimentos que comemos em combustível para que o nosso corpo funcione; são eles:  boca, faringe, esôfago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas
aparelho digestório	órgãos que trabalham juntos para transformar os alimentos que comemos em combustível para que o nosso corpo funcione; são eles:  boca, faringe, esôfago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas
aparelho reprodutivo	órgãos que trabalham juntos pela reprodução (geração de filhos); na mulher são a vagina, os ovários, as trompas e o útero e no homem são os testículos, o pênis, o escroto e a prostata  
aparelho reprodutor	órgãos que trabalham juntos pela reprodução (geração de filhos); na mulher são a vagina, os ovários, as trompas e o útero e no homem são os testículos, o pênis, o escroto e a prostata  
aparelho urinário	órgãos que trabalham juntos para produzir, guardar e eliminar a urina; esses órgãos são dois rins, dois ureteres, uma bexiga e uma uretra
aparelho vestibular	estruturas localizadas na nossa orelha interna e que nos mantêm em equilíbrio, sem cair
apatia	falta de interesse, emoção ou preocupação
apneia	quando a respiração é interrompida porque a pessoa quer (tranca-se a respiração para nadar numa piscina) ou sem querer (muitas pessoas têm apnéia durante o sono, quando param de respirar sem querer e sem notar por alguns segundos de cada vez)
apneia de o sono	quando a respiração para e volta diversas vezes enquanto a pessoa está dorminando sem que ela queira ou perceba; o mesmo que apneia noturna
apneia noturna	quando a respiração para e volta diversas vezes enquanto a pessoa está dorminando sem que ela queira ou perceba; o mesmo que apneia noturna
apraxia	quando a pessoa não consegue fazer tarefas que ela conhece apesar do desejo e capacidade física para realizá-las
área de broca	região do cérebro responsável pela expressão da linguagem (comunicação falada e escrita)
área de wernicke	uma das áreas do cérebro ligada à fala
arreflexia	perda de reflexo nos tendões (*Ver tendões no glossário)
arritmia	palpitação; o coração bate num ritmo diferente do normal
arteterapia	terapia que usa a arte como parte do tratamento do paciente
artéria	vasos que transportam sangue cheio de oxigênio do coração para o resto do corpo
artérias coronària	vasos que transportam sangue para o miocárdio (músculo do coração)
artéria pulmonar	vaso que leva o sangue do coração para os pulmões; única artéria (vaso sanguíneo) do corpo que carrega sangue com pouco oxigênio
articulação	junta(s)
artralgia	dor na articulação (junta)
artrite reumatóide	doença sem cura que causa inflamações em muitas articulações (juntas), inclusive nas juntas das mãos e dos pés
asfixia	alguma obstrução no caminho do oxigênio (ar); dificuldade ou impossibilidade de respirar
asma	doença nos pulmões que faz com que os brônquios (tubos que ligam a garganta aos pulmões) se fechem por estarem inflamados, fazendo com que o paciente fique com chiado e aperto no peito, falta de ar e tosse seca
assintomático	sem sintomas
astereognosia	dificuldade de reconhecer objetos pelo tato (toque)
ataque isquêmico transitório	o sangue não chega até o cérebro por um curto espaço de tempo; o mesmo que AIT
ataxia	falta de equilíbrio, movimentos descoordenados
ateroma	placa de gordura
aterosclerose	placas de gordura e outras substâncias nos vasos sanguíneos, fazendo com os vasos fiquem duros
atetose	movimentos descontrolados; o corpo se contorce sem querer, principalmente braços e mãos
ativação muscular	uso dos músculos
atonia	falta ou perda de tônus muscular (*Ver tônus muscular no glossário)
atrofia	falta de desenvolvimento, diminuição do tamanho ou peso de corpo, órgão, tecido ou membro
atrofia de múltiplos sistemas	doença que causa danos a partes do cérebro que controlam os movimentos e muitos processos internos do corpo, como controle da bexiga, pressão arterial etc
atrofia multissistêmica	doença que causa danos a partes do cérebro que controlam os movimentos e muitos processos internos do corpo, como controle da bexiga, pressão arterial etc
atrofiar	que não conseguiu se desenvolver completamente, que perdeu tamanho ou volume
audição	um dos cinco sentidos; é a capacidade de ouvir e processar (compreender) sons
audiologia	estudo da audição (como ouvimos)
auditivo	relacionado à audição ou ao ouvido
auricular	relacionado ao ouvido
auscultação	escuta dos sons internos do corpo, normalmente usando um aparelho estetoscópio (*Ver estetoscópio no glossário); o mesmo que ausculta
ausculta	escuta dos sons internos do corpo, normalmente usando um aparelho estetoscópio (*Ver estetoscópio no glossário); o mesmo que auscultação
autismo	condição relacionada com o desenvolvimento do cérebreo em que a pessoa pode ter dificuldade de se relacionar com o mundo e com as pessoas ao seu redor 
autópsia	exame feito em cadáver para determinar a causa e o modo da morte e avaliar doenças 
avaliação clínica	avaliação que o profissional de saúde faz da condição do paciente pelos sinais e sintomas que ele observa 
avc	derrame  
avds	atividades do dia a dia
azia	sensação de queimação no estômago
azilect	remédio que trata os sintomas iniciais da Doença de Parkinson
baço	pequeno órgão localizado na parte de cima abdômen (barriga) que filtra e armazena o sangue
bactéria	organismos muito pequenos e simples que podem causar doenças, mas que também são muito importantes para os seres humanos e têm várias funções no nosso corpo, como proteger o intestino
bactérias intestinal	conjunto de organismos muito pequenos que vivem no nosso intestino. Quando estão em harmonia, ajudam a proteger nosso intestino e nas defesas do corpo, quando se desequilibram podem causar doenças.
balismo	movimentos em que parece que a pessoa está arremessando algo; movimentos amplos, fortes e sem parar
barreira hematoencefálica	filtro entre o sangue e o cérebro que não deixa passar certos tipos de substâncias
benigno	que não faz mal
betabloqueadores	grupo de remédios que tem várias funções, como proteger o coração após um infarto
bexiga	órgão que armazena urina antes de ser eliminada do corpo
bexiga hiperativa	problema com o funcionamento da bexiga que provoca a vontade de urinar toda hora
bile	líquido produzido pelo fígado que ajuda na digestão de gorduras do intestino
biomarcadores	informações coletadas pelo profissional de saúde que ajudam a identificar quais tratamentos funcionam melhor para cada tipo de doença e para cada paciente
biópsia	procedimento no qual se colhe uma amostra de tecidos ou células do nosso corpo para ser estudada em laboratório; exame muito usado para diagnostica câncer 
biotina	vitamina antioxidante, conhecida como vitamina B-7, presente em alimentos como fígado, cerais, grãos e aveia
bipolaridade	doença que causa mudanças de humor, em que a pessoa pode passar de uma tristeza profunda (depressão) a muita euforia (mania) de uma hora para outra
blefarite	inflamação da pálpebra (pele que cobre e protege os olhos)
blefaroespasmo	movimento descontrolado dos olhos (fechamento ou piscadas)
borramento visual	visão embaçada, borrada
bradicardia	os batimentos do coração ficam mais lentos do que o normal
bradicinesia	diminuição e lentidão dos movimentos
bradifrenia	pensamento lento, perda de concentração, dificuldade para formar conceitos
bromocriptina	tipo de remédio usado no tratamento da Doença de Parkinson e outras doenças
brônquios	tubos que ligam a garganta aos pulmões e por onde passa o ar
bruxismo	a pessoa aperta ou range os dentes enquanto dorme
bucolingual	relacionado à boca e à língua
bulbo	estrutura que liga e faz a comunicação entre o cérebro e a medula espinhal
bulbo raquidiano	estrutura que liga e faz a comunicação entre o cérebro e a medula espinhal
butirofenonas	remédios usados para tratar distúrbios psiquiátricos (condições que afeftam o humor, o raciocínio e o comportamento)
cabergolina	remédio que imita os efeitos da dopamina no cérebro
cãimbra de o escritor	contração sem querer dos músculos da mão
cãimbra de o escrivão	contração sem querer dos músculos da mão
cãimbra	o músculo se contrai sem que a pessoa queira, causando dor
calázio	inflamação na pálpebra (pele acima dos olhos)que causa um caroço
calcificação	acúmulo de cálcio nos tecidos do corpo, tornando eles rígidos (duros) e espessos (grossos), entre outros problemas
cálcio	mineral muito importante para o corpo responsável por manter e dar força aos ossos
cálculo	pequenas pedras que podem aparecer, por exemplo, nos rins
cálculo biliar	pedras na vesícula (pequena bolsa localizada abaixo do fígado)
cálculo renal	pedras nos rins
caloria	medida de energia usada para medir tanto o consumo dos alimentos quanto a atividade física
caloso	duro como um calo
caminhada nórdica	tipo de caminhada em que a pessoa segura um bastão em cada mão para se apoiar um pouco, usada como atividade física para pessoas com Parkinson.
cancerígeno	que pode causar câncer (podem ser alimentos, substâncias, gases etc.)
capilar	os menores vasos sanguíneos; o mesmo que vasos capilares e capilares sanguíneos
capilar sanguíneo	os menores vasos sanguíneos; o mesmo que capilares e vasos sanguíneos
carbidopa	remédio usado no tratamento da Doença de Parkinson
carcinoma	tipo de câncer mais comum, pode surgir em praticamente todos os tecidos do corpo
cardíaco	relacionado ou que pertence ao coração
cardiologia	especialidade médica que estuda e trata o coração e suas doenças
cardiologista	médico que estuda e trata as doenças do coração
cardiomegalia	aumento do tamanho do coração
cardiopatia	relacionado a doenças do coração
cardiopatia congênita	defeitos do coração presentes desde o nascimento
cardiovascular	relacionado ao coração e aos vasos sanguíneos 
cartilagem	tecido mais firme, mas não tão duro quanto o osso, importante para sustentar e proteger partes do corpo, facilitar os movimentos e diminuir o atrito e o impacto entre os ossos
catabólico	relacionado ao catabolismo (*Ver catabolismo no glossário)
catabolismo	processo em que moléculas complexas são transformadas em moléculas menores, fornecendo energia ao organismo
catarata	nesta doença o cristalino, que é uma lente natural do olho, perde a transparência; o cristalino é responsável pelo foco da visão em diferentes distâncias. A catarata pode causar cegueira.
catatonia	sintoma de doença mental ou no cérebro; a pessoa pode ficar sem se mover, falar ou interagir por horas, dias ou semanas
catar	tubo usado para injeção ou retirada de fluidos do corpo; pode ser colocado por cima ou por baixo da pele
cavidade	espaços dentro do corpo que contêm os órgãos internos; as cavidades ajudam a proteger, isolar e sustentar os órgãos internos
cavidade abdominal	dentro desse espaço estão alojados diversoss órgãos do aparelho digestivo (estômago, intestinos, fígado, vesícula, pâncreas), baço, rins e parte dos ureteres
cavidade craniano	espaço onde o cérebro fica alojado
cavidade pélvica	espaço onde ficam alojadas a bexiga, uretra, parte dos ureteres, útero e vagina (na mulher), parte do intestino grosso e o reto
cavidade pleural	espaço ao redor dos pulmões
cavidade torácica	espaço dentro do tórax (peito) onde se encontam o esôfago, a traqueia, os pulmões e o coração
cefaleia	dor de cabeça
célula	menores unidades vivas com formas e funções definidas; existem organismos unicelulares (uma única célula), como as bactérias, e pluricelulares (com muitas células), como o ser humano
células estaminal não embrionária	células presentes em muitos tecidos do organismo adulto
células nervoso	células do sistema nervoso central (rede de comunicação do nosso corpo formada pelo cérebro, medula espinhal e nervos) que transmitem informações para todo o corpo
células piramidal	um tipo de neurônio em forma de triângulo encontrado em partes do cérebro e responsável pelos movimentos voluntários (que desejamos fazer) do nosso corpo
células tronco	células que podem se transformar em muitos tipos de células, o que significa que podem reparar outras células que tenham sido danificadas por doenças, acidentes ou pelo envelhecimento natural
centro de massa	local em que o peso do corpo fica concentrado
cerebelo	parte do cérebro responsável pelo movimento, equilíbrio e postura; sem o cerebelo seria impossível caminhar, jogar futebol, dançar, cozinhar etc.
cérebro	é o órgão mais importante do corpo; ele controla tudo o que você faz, pensa, sente, aprende, lembra (memória) e como você se move e fala, além de controlar também coisas que você nem se dá conta, como os batimentos do seu coração e a digestão da comida que você ingere
cerúleo	estrutura do cérebro responsável pela resposta ao estresse e fundamental no funcionamento do sono
cicatriz	marca deixada por uma ferida curada. Se você sofrer um corte profundo da mão, depois que a ferida curar, é muito provável que você fique com uma cicatriz no local.
cifose	curvatura anormal da coluna; corcunda
cinestesia	capacidade de perceber a posição e o movimento de uma parte do corpo.
cintilografia	tipo de exame por imagem
cintilografia óssea	exame que investiga a causa de problemas ou dores nos ossos
cirurgia bilateral	cirurgia nos dois lados do corpo, por exemplo, nas duas mamas, nos dois lados do cérebro
cirurgia unilateral	cirurgia só de um lado do corpo, por exemplo, mama esquerda, lado direito do cérebro
cisto	parecido com uma pequena bolsa, que pode ser cheia de ar, líquido, pus ou outro fluido, e que podem se formar dentro de qualquer tecido do corpo
citologia	estudo das células
citologista	pessoa especializada em estudar as células
clínica especializar	local onde vários médicos e outros profissionais de saúde trabalham
clonazepam	remédio usado para tratar convulsões e epilepsia
coagulação	processo que garante que a pessoa não perca muito sangue; nesse processo, o sangue perde suas características líquidas e se transforma em uma massa quase sólida, o que chamamos de coágulo
coágulo	forma sólida do sangue; o sangue perde suas características líquidas e se transforma em uma espécie de massa de sangue
coágulo sanguíneo	forma sólida do sangue; o sangue perde suas características líquidas e se transforma em uma espécie de massa de sangue
cóclea	estrutura da orelha interna responsável pela audição (como ouvimos)
coeficiente de letalidade	representa o risco que as pessoas com uma doença têm de morrer por essa mesma doença
cognição	capacidade do ser humano de processar informações e aprender através da percepção, atenção, associação, memória, raciocínio, juízo, imaginação, pensamento e linguagem
cognitivo	relacionado à cognição  (*Ver cognição no glossário)
colesterol	tipo de gordura encontrada em nosso organismo importante para o seu funcionamento normal; quando o nível de colesterol está muito alto ele pode fazer mal à saúde
colículos inferior	região do sistema nervoso central (*Ver sistema nervoso central no glossário) que recebe informações visuais (dos olhos)
colículos superior	região do sistema nervoso central (*Ver sistema nervoso central no glossário) que recebe informações auditivas (dos ouvidos)
cólon	parte central do intestino grosso, o cólon tem a função de absorver a água dos alimentos ingeridos que serão eliminadas pelo corpo através das fezes
colostomia	cirurgia que produz uma abertura no cólon (*Ver cólon no glossário), formando um novo caminho e local para a saída das fezes
coluna vertebral	dá sustentação ao corpo humano e ajuda na nossa locomoção, permitindo que caminhemos sobre os dois pés, sem precisar usar as mãos; além disso, protege os nervos da medula espinhal (*Ver medula espinhal no glossário); o mesmo que espinha dorsal
coma	condição em que a pessoa está viva, mas não reage a sons ou atividades ao seu redor, não faz nenhum movimento por vontade própria e o cérebro parece não estar alerta como antes
coma induzido	é um coma (*Ver definição de coma no glossário) provocado por uma dose (quantidade) de remédios controlada pelo médico e que irá durar o tempo que o médico achar necessário para o tratamento
coma irreversível	condição em que a pessoa está viva, mas não reage a sons ou atividades ao seu redor, não faz nenhum movimento por vontade própria e o cérebro parece não estar alerta; neste caso, a pessoa não retorna desse estado de coma
comorbidade	quando a pessoa tem duas ou mais doenças, sendo que uma doença pode potencializar (piorar) a outra
comprimento de o passar	distância de dois passos
comprometimento cognitivo	perda da capacidade de memória, linguagem e pensamento
compulsão	vontade incontrolável de fazer algo mesmo que não seja recomendado, como comer e beber demais, jogatina etc.
concussão	lesão (machucado) no cérebro que costuma melhorar depois de 24 horas
condição basal	quantidade mínima de energia que corpo da pessoa em repouso precisa para se manter vivo
confusão mental	pensamento confuso
congelamento de o marcha	parada súbita (de repente) da execução do movimento da caminhada
congênito	que vem desde o nascimento
congestão nasal	nariz entupido
constipação	intestino preso, dificuldade de evacuar
constritivo	alguma coisa que aperta, que (se) contrai; o mesmo que constritor
constritor	alguma coisa que aperta, que (se) contrai; o mesmo que constritivo
contraindicação	a ser evitado, não recomendado
contrair	a ser evitado, não recomendado
contratura	acontece quando o músculo se contrai sem que a pessoa queira e de maneira incorreta e não volta ao seu estado normal de relaxamento
controlo motor	controle dos movimentos
convulsão	é como se acontecesse uma descarga elétrica mais forte que o normal no cérebro; existem muitas causas diferentes para a convulsão; durante a convulsão, a pessoa fica rígida (dura), pode cair no chão e começar a se debater
coordenação motor	capacidade do nosso corpo de realizar e controlar os movimentos
coprolalia	vontade incontrolável de falar palavras e de fazer comentários inadequados
corda vocal	tecido cheio de músculos localizado dentro da laringe; quando a pessoa expulsa o ar pelas cordas vocais elas vibram produzindo o som pelo qual nos comunicamos; hoje o termo mais usado é prega vocal
coreia	movimentos descontrolados e rápidos que parecem uma dança
coriza	secreção que sai do nariz; nariz escorrendo
córnea	tecido transparente, fino e resistente localizado na parte da frente do olho (parece o vidro de um relógio); a córnea permite a entrada da luz e nos ajuda a focar em objetos e pessoas
corpo caloso	estrutura que conecta os lados direito e esquerdo do cérebro; é importante na organização das informações que chegam aos dois lados do cérebro
corpo estriar	parte central do cérebro com neurônios importantes; é uma das partes mais afetadas por doenças neurológicas como Doença de Parkinson e Alzheimer
corpo de lewy	agrupamento anormal de proteínas dentro de células nervosas
córtex	parte do cérebro responsável pela nossa capacidade de pensar e de interpretar as informações enviadas pelos nossos cinco sentidos (audição, olfafto, paladar, tato, visão)
córtex cerebral	parte externa do cérebro também conhecida como "massa cinzenta" por causa de sua cor acinzentada; é responsável pela nossa capacidade de pensamento, movimento voluntário (que fazemos por querer), linguagem e como vemos e entendemos o mundo
córtex motor primário	parte do cérebro responsável pelos movimentos do corpo voluntários (que queremos fazer); ajuda a planejar e executar atividades em que a pessoa precisa ter mais coordenação motora, como na prática de esportes
córtex visual	parte do cérebro responsável por perceber e reconhecer pessoas e objetos; diretamente ligado ao nosso sentido da visão
cortisol	hormônio (substâncias que regulam o nosso corpo) produzido pelas glândulas suprarreinas (Ver *glândulas suprarrenais no glossário) e que o nosso corpo libera quando estamos estressados
catecolamina	*sem definição
craniano	relacionado ao crânio
crânio	caixa óssea que protege o cérebro de danos externos
creatina	substância que dá energia aos músculos
crise epilética	descarga elétrica entre os neurônios mais duradoura que o normal, podendo causar convulsão
crise epiléptica	descarga elétrica entre os neurônios mais duradoura que o normal, podendo causar convulsão
crise oculogírica	descontrole do movimento dos olhos
cristalino	lente natural do olho responsável pelo foco da visão em diferentes distâncias. O olho foca em objetos como se fosse uma câmera fotográfica.
cromossomos	estruturas que contêm os genes (que carregam as informações genéticas de um ser vivo); nos seres humanos, cada célula contém 23 pares de cromossomos, incluindo os dois cromossomos responsáveis pelas características sexuais (XX na mulher e XY no homem)
cuidado paliativo	cuidados médicos não vão  curar o paciente, mas melhorar sua qualidade de vida e diminuir o sofrimento causado por doença grave e sem cura
